worker_age,employment_attrition_flag,travel_frequency,compensation_daily_rate,org_department,worker_commute_distance,education_level_code,education_field,worker_id,survey_environment_satisfaction,worker_gender,compensation_hourly_rate,survey_job_involvement,org_job_level,org_job_role,survey_job_satisfaction,worker_marital_status,compensation_monthly_salary,compensation_monthly_rate,career_companies_worked_count,work_overtime_flag,compensation_salary_hike_pct,performance_rating_code,survey_relationship_satisfaction,compensation_stock_option_level,career_total_years,training_sessions_last_year,survey_work_life_balance,tenure_total_years,tenure_current_role_years,tenure_years_since_promotion,tenure_years_with_manager,worker_status
41,1,RARE,1102,Sales,1,2,Life Sciences,1,2,F,94,3,2,Sales Executive,4,Single,5993,19479,8,1,11,3,1,0,8,0,1,6,4,0,5,Terminated
49,0,FREQ,279,Research & Development,8,1,Life Sciences,2,3,M,61,2,2,Research Scientist,2,Married,5130,24907,1,0,23,4,4,1,10,3,3,10,7,1,7,Active
37,1,RARE,1373,Research & Development,2,2,Other,4,4,M,92,2,1,Laboratory Technician,3,Single,2090,2396,6,1,15,3,2,0,7,3,3,0,0,0,0,Terminated
33,0,FREQ,1392,Research & Development,3,4,Life Sciences,5,4,F,56,3,1,Research Scientist,3,Married,2909,23159,1,1,11,3,3,0,8,3,3,8,7,3,0,Active
27,0,RARE,591,Research & Development,2,1,Medical,7,1,M,40,3,1,Laboratory Technician,2,Married,3468,16632,9,0,12,3,4,1,6,3,3,2,2,2,2,Active
32,0,FREQ,1005,Research & Development,2,2,Life Sciences,8,4,M,79,3,1,Laboratory Technician,4,Single,3068,11864,0,0,13,3,3,0,8,2,2,7,7,3,6,Active
59,0,RARE,1324,Research & Development,3,3,Medical,10,3,F,81,4,1,Laboratory Technician,1,Married,2670,9964,4,1,20,4,1,3,12,3,2,1,0,0,0,Active
30,0,RARE,1358,Research & Development,24,1,Life Sciences,11,4,M,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,0,22,4,2,1,1,2,3,1,0,0,0,Active
38,0,FREQ,216,Research & Development,23,3,Life Sciences,12,4,M,44,2,3,Manufacturing Director,3,Single,9526,8787,0,0,21,4,2,0,10,2,3,9,7,1,8,Active
36,0,RARE,1299,Research & Development,27,3,Medical,13,3,M,94,3,2,Healthcare Representative,3,Married,5237,16577,6,0,13,3,2,2,17,3,2,7,7,7,7,Active
35,0,RARE,809,Research & Development,16,3,Medical,14,1,M,84,4,1,Laboratory Technician,2,Married,2426,16479,0,0,13,3,3,1,6,5,3,5,4,0,3,Active
29,0,RARE,153,Research & Development,15,2,Life Sciences,15,4,F,49,2,2,Laboratory Technician,3,Single,4193,12682,0,1,12,3,4,0,10,3,3,9,5,0,8,Active
31,0,RARE,670,Research & Development,26,1,Life Sciences,16,1,M,31,3,1,Research Scientist,3,Divorced,2911,15170,1,0,17,3,4,1,5,1,2,5,2,4,3,Active
34,0,RARE,1346,Research & Development,19,2,Medical,18,2,M,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,0,11,3,3,1,3,2,3,2,2,1,2,Active
28,1,RARE,103,Research & Development,24,3,Life Sciences,19,3,M,50,2,1,Laboratory Technician,3,Single,2028,12947,5,1,14,3,2,0,6,4,3,4,2,0,3,Terminated
29,0,RARE,1389,Research & Development,21,4,Life Sciences,20,2,F,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,0,11,3,3,1,10,1,3,10,9,8,8,Active
32,0,RARE,334,Research & Development,5,2,Life Sciences,21,1,M,80,4,1,Research Scientist,2,Divorced,3298,15053,0,1,12,3,4,2,7,5,2,6,2,0,5,Active
22,0,NONE,1123,Research & Development,16,2,Medical,22,4,M,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,1,13,3,2,2,1,2,2,1,0,0,0,Active
53,0,RARE,1219,Sales,2,4,Life Sciences,23,1,F,78,2,4,Manager,4,Married,15427,22021,2,0,16,3,3,0,31,3,3,25,8,3,7,Active
38,0,RARE,371,Research & Development,2,3,Life Sciences,24,4,M,45,3,1,Research Scientist,4,Single,3944,4306,5,1,11,3,3,0,6,3,3,3,2,1,2,Active
24,0,NONE,673,Research & Development,11,2,Other,26,1,F,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,0,18,3,4,1,5,5,2,4,2,1,3,Active
36,1,RARE,1218,Sales,9,4,Life Sciences,27,3,M,82,2,1,Sales Representative,1,Single,3407,6986,7,0,23,4,2,0,10,4,3,5,3,0,3,Terminated
34,0,RARE,419,Research & Development,7,4,Life Sciences,28,1,F,53,3,3,Research Director,2,Single,11994,21293,0,0,11,3,3,0,13,4,3,12,6,2,11,Active
21,0,RARE,391,Research & Development,15,2,Life Sciences,30,3,M,96,3,1,Research Scientist,4,Single,1232,19281,1,0,14,3,4,0,0,6,3,0,0,0,0,Active
34,1,RARE,699,Research & Development,6,1,Medical,31,2,M,83,3,1,Research Scientist,1,Single,2960,17102,2,0,11,3,3,0,8,2,3,4,2,1,3,Terminated
53,0,RARE,1282,Research & Development,5,3,Other,32,3,F,58,3,5,Manager,3,Divorced,19094,10735,4,0,11,3,4,1,26,3,2,14,13,4,8,Active
32,1,FREQ,1125,Research & Development,16,1,Life Sciences,33,2,F,72,1,1,Research Scientist,1,Single,3919,4681,1,1,22,4,2,0,10,5,3,10,2,6,7,Terminated
42,0,RARE,691,Sales,8,4,Marketing,35,3,M,48,3,2,Sales Executive,2,Married,6825,21173,0,0,11,3,4,1,10,2,3,9,7,4,2,Active
